motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label
ARCH1000_Homeodomains_npax_1	0.946240929686887	0.0797679477882524	0.0842998281786942	110	3925	0.738605206285986	1	G7
ARCH1000_Homeodomains_npax_1	0.456684277785195	0.0384615384615385	0.0842190991292	2	4033	0.94035743893073	1	G8
ARCH1000_Homeodomains_npax_1	0	0	0.0841922964570379	0	4035	1	1	G9
ARCH1001_zf_C2H2_ZNF32	0.864053063083167	0.0638977635782748	0.0739512031243439	20	3522	0.780731368662612	1	G1
ARCH1001_zf_C2H2_ZNF32	0.386005006864249	0.0285714285714286	0.0740182849013578	4	3538	0.993566029628974	1	G2
ARCH1001_zf_C2H2_ZNF32	0.892018680059917	0.065979381443299	0.0739663674295107	32	3510	0.77213696817514	1	G3
ARCH1001_zf_C2H2_ZNF32	0.785325456753376	0.0580645161290323	0.0739368826385401	9	3533	0.816417400598722	1	G4
ARCH1001_zf_C2H2_ZNF32	1.2744498818203	0.0941176470588235	0.0738496259455845	8	3534	0.291212284557318	0.95069561618214	G5
ARCH1001_zf_C2H2_ZNF32	1.03659702255447	0.0765765765765766	0.07387304315024	17	3525	0.475501055197256	1	G6
ARCH1001_zf_C2H2_ZNF32	0.920469286563955	0.0681653372008702	0.0740549828178694	94	3448	0.808696323184609	1	G7
ARCH1001_zf_C2H2_ZNF32	1.04115754228812	0.0769230769230769	0.0738822644976716	4	3538	0.541736342934674	1	G8
ARCH1001_zf_C2H2_ZNF32	0	0	0.0739056044735634	0	3542	1	1	G9
ARCH1002_zf_C2H2_ZFP90	1.55562677989976	0.0511182108626198	0.0328602024104481	16	1565	0.0570992460924174	0.382917413301249	G1
ARCH1002_zf_C2H2_ZFP90	0.866002355285805	0.0285714285714286	0.0329923220151049	4	1577	0.681854215542578	1	G2
ARCH1002_zf_C2H2_ZFP90	1.44441327104535	0.0474226804123711	0.0328317950014751	23	1558	0.0540782740704092	0.3927181614311	G3
ARCH1002_zf_C2H2_ZFP90	0.781950211712725	0.0258064516129032	0.0330026787209108	4	1577	0.755516838687119	1	G4
ARCH1002_zf_C2H2_ZFP90	0.356321667907669	0.0117647058823529	0.0330170936598821	1	1580	0.942332390496989	1	G5
ARCH1002_zf_C2H2_ZFP90	1.23058077161131	0.0405405405405405	0.032944233711256	9	1572	0.311879797097708	0.886979611431806	G6
ARCH1002_zf_C2H2_ZFP90	0.898900954013354	0.0297316896301668	0.0330756013745705	41	1540	0.774104869163124	1	G7
ARCH1002_zf_C2H2_ZFP90	0	0	0.0330152233382755	0	1581	1	1	G8
ARCH1002_zf_C2H2_ZFP90	0	0	0.0329883570504528	0	1581	1	1	G9
ARCH1003_Homeodomains_SIX1_Six1	1.21993964176268	0.0702875399361022	0.0576155881241339	22	2744	0.198175526102035	0.789095001702389	G1
ARCH1003_Homeodomains_SIX1_Six1	0.494455363608152	0.0285714285714286	0.057783635640913	4	2762	0.963948462643152	1	G2
ARCH1003_Homeodomains_SIX1_Six1	0.85639648988247	0.0494845360824742	0.0577822733594639	24	2742	0.808296120598544	1	G3
ARCH1003_Homeodomains_SIX1_Six1	1.00636736986205	0.0580645161290323	0.0576971371170266	9	2757	0.540770633231355	1	G4
ARCH1003_Homeodomains_SIX1_Six1	1.63303331484878	0.0941176470588235	0.0576336356417436	8	2758	0.117070636743537	0.705141949485785	G5
ARCH1003_Homeodomains_SIX1_Six1	0.858205392325175	0.0495495495495496	0.0577362365613932	11	2755	0.739636739865636	1	G6
ARCH1003_Homeodomains_SIX1_Six1	0.710418980483233	0.0413343002175489	0.0581829896907217	57	2709	0.997615466367473	1	G7
ARCH1003_Homeodomains_SIX1_Six1	1.33367682281513	0.0769230769230769	0.0576774489945079	4	2762	0.352767182358496	1	G8
ARCH1003_Homeodomains_SIX1_Six1	0	0	0.0577139757125569	0	2766	1	1	G9
ARCH1004_Homeodomains_SIX2	0.942749345780333	0.0479233226837061	0.0508335782975686	15	2421	0.628866357824626	1	G1
ARCH1004_Homeodomains_SIX2	1.40734306913202	0.0714285714285714	0.0507541998786586	10	2426	0.175741000745043	0.896968402423282	G2
ARCH1004_Homeodomains_SIX2	0.973565163871365	0.0494845360824742	0.0508281704387407	24	2412	0.582696503065614	1	G3
ARCH1004_Homeodomains_SIX2	0.888426141117412	0.0451612903225806	0.050832914783191	7	2429	0.677834610186764	1	G4
ARCH1004_Homeodomains_SIX2	0.694190179154276	0.0352941176470588	0.0508421448572742	3	2433	0.812750681790119	1	G5
ARCH1004_Homeodomains_SIX2	1.15321450216209	0.0585585585585586	0.0507785485256827	13	2423	0.340034707334651	0.927243238073205	G6
ARCH1004_Homeodomains_SIX2	0.838053097075155	0.0427846265409717	0.0510524054982818	59	2377	0.927985594711162	1	G7
ARCH1004_Homeodomains_SIX2	1.13551645641658	0.0576923076923077	0.0508071084010274	3	2433	0.496395712631038	1	G8
ARCH1004_Homeodomains_SIX2	0	0	0.0508283603889329	0	2436	1	1	G9
ARCH1005_zf_C2H2_ZBTB12	0.724282797662574	0.0383386581469649	0.0529332717423256	12	2521	0.904440715308395	1	G1
ARCH1005_zf_C2H2_ZBTB12	1.08173125884017	0.0571428571428571	0.0528253729157514	8	2525	0.461924395913949	1	G2
ARCH1005_zf_C2H2_ZBTB12	0.857249134735001	0.045360824742268	0.0529144013149576	22	2511	0.797739733733532	1	G3
