sample	motif	gene	gene_expression_fc	motif_enrichment_fc	motif_enrichment_minuslog10_fdr	cor_qv	cor_fc	reporterline	condition	id
JGD1_ElavPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	0.451596422659795	-0.495776130348716	0	0.546926800259998	0.381982712996915	Elav	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGD3_ElavPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	-0.97016354134774	-0.495776130348716	0	0.546926800259998	0.381982712996915	Elav	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGD5_ElavPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	-0.905862673048903	-0.495776130348716	0	0.546926800259998	0.381982712996915	Elav	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGD7_ElavPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	-1.59365908091365	-0.495776130348716	0	0.546926800259998	0.381982712996915	Elav	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGA1_FoxPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	2.56273628697924	-0.169391741672927	0	-0.907664817382834	-0.858804703923391	Fox	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGA3_FoxPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.34826595228473	-0.169391741672927	0	-0.907664817382834	-0.858804703923391	Fox	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGA5_FoxPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.75005713703764	-0.169391741672927	0	-0.907664817382834	-0.858804703923391	Fox	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGA7_FoxPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	2.3473918082924	-0.169391741672927	0	-0.907664817382834	-0.858804703923391	Fox	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGC1_NcolPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	-0.0235290453584771	1.06484133647136	11.2501092618456	-0.907664817382834	-0.858804703923391	Ncol	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGC3_NcolPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	0.473653573856028	1.06484133647136	11.2501092618456	-0.907664817382834	-0.858804703923391	Ncol	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGC5_NcolPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	0.198406785766687	1.06484133647136	11.2501092618456	-0.907664817382834	-0.858804703923391	Ncol	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGC7_NcolPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	-0.747936439148658	1.06484133647136	11.2501092618456	-0.907664817382834	-0.858804703923391	Ncol	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
