sample	target_gene	regulation	fold_change
Ncol_pos	Nvec_vc1.1_XM_032386959.2	down	-1.49469961584761
Elav_pos	Nvec_vc1.1_XM_032381256.2	up	1.4916759641291
Elav_pos	Nvec_vc1.1_XM_048722875.1	up	1.48968852027675
Ncol_pos	Nvec_vc1.1_XM_048722875.1	up	1.48968852027675
Ncol_pos	Nvec_vc1.1_XM_001630742.3	down	-1.48662868375723
Elav_pos	Nvec_vc1.1_XM_048730632.1	down	-1.485526959853
Ncol_pos	Nvec_vc1.1_XM_048733437.1	up	1.47880940894315
Ncol_pos	Nvec_vc1.1_XM_032384486.2	down	-1.47081523420155
Elav_pos	Nvec_vc1.1_XM_048730602.1	down	-1.46945277268144
Ncol_pos	Nvec_vc1.1_XM_032372869.2	down	-1.46357175207034
Ncol_pos	Nvec_vc1.1_XM_048724602.1	up	1.46177570132504
Ncol_pos	Nvec_vc1.1_XM_048733047.1	up	1.45016533764072
Ncol_pos	Nvec_vc1.1_XM_048728975.1	up	1.44277442246817
Ncol_pos	Nvec_vc1.1_XM_048732382.1	up	1.4344270047853
Ncol_pos	Nvec_vc1.1_XM_048732382.1	up	1.4344270047853
Elav_pos	Nvec_vc1.1_XM_048725446.1	up	1.43241359384001
Elav_pos	Nvec_NVE3537	down	-1.42860547497529
Ncol_pos	Nvec_vc1.1_XM_032370839.2	up	1.42097011186968
Ncol_pos	Nvec_vc1.1_XM_048727904.1	up	1.42097011186968
Elav_pos	Nvec_vc1.1_XM_048730602.1	down	-1.42039100761387
Ncol_pos	Nvec_vc1.1_XM_048724602.1	up	1.41688846917693
Elav_pos	Nvec_v1g239769	down	-1.41118109314665
Elav_pos	Nvec_v1g205215	down	-1.40496648803517
Elav_pos	Nvec_vc1.1_XM_001639281.3	down	-1.40396691701069
Ncol_pos	Nvec_NVE11985	up	1.40161787479376
Ncol_pos	Nvec_vc1.1_XM_048729006.1	up	1.40007377282213
Ncol_pos	Nvec_vc1.1_XM_048726931.1	up	1.39942884191328
Ncol_pos	Nvec_vc1.1_XM_001641901.3	up	1.38626126073999
Ncol_pos	Nvec_vc1.1_XM_048721072.1	up	1.38392869053514
Ncol_pos	Nvec_vc1.1_XM_048722875.1	up	1.38386271629514
Ncol_pos	Nvec_vc1.1_XM_032386979.2	up	1.38057336210701
Ncol_pos	Nvec_vc1.1_XM_048722964.1	up	1.37943012457557
Ncol_pos	Nvec_vc1.1_XM_001628553.3	up	1.37909692405845
Ncol_pos	Nvec_vc1.1_XM_001641063.3	up	1.36830949567233
Ncol_pos	Nvec_vc1.1_XM_032362353.2	up	1.3653168525772
Ncol_pos	Nvec_vc1.1_XM_032382511.2	up	1.36524840455693
Ncol_pos	Nvec_vc1.1_XM_048720982.1	up	1.36025834461708
Elav_pos	Nvec_vc1.1_XM_032373009.2	down	-1.35337794297509
Ncol_pos	Nvec_vc1.1_XM_032377751.2	up	1.34514156988458
Elav_pos	Nvec_vc1.1_XM_032378883.2	down	-1.34403277915128
Ncol_pos	Nvec_vc1.1_XM_048720966.1	up	1.33321142591006
Ncol_pos	Nvec_vc1.1_XM_048733987.1	up	1.32335705182114
Ncol_pos	Nvec_NVE10322	up	1.31918748670866
Ncol_pos	Nvec_vc1.1_XM_048727226.1	up	1.31867390689123
Ncol_pos	Nvec_vc1.1_XM_048727226.1	up	1.31867390689123
Ncol_pos	Nvec_vc1.1_XM_048723782.1	down	-1.31822933192936
Ncol_pos	Nvec_vc1.1_XM_048727733.1	down	-1.31655375632305
Elav_pos	Nvec_vc1.1_XM_032367072.2	down	-1.31016134622976
Ncol_pos	Nvec_vc1.1_XM_032382017.2	down	-1.30342372141232
Ncol_pos	Nvec_NVE18974	up	1.30169365102943
Ncol_pos	Nvec_vc1.1_XM_048720522.1	down	-1.29510911997991
Ncol_pos	Nvec_vc1.1_XM_032370610.2	up	1.29321346767609
Ncol_pos	Nvec_vc1.1_XM_048722479.1	down	-1.29245283209701
Ncol_pos	Nvec_vc1.1_XM_032380476.2	down	-1.28482797231829
Ncol_pos	Nvec_vc1.1_XM_048722479.1	down	-1.28225823072442
Ncol_pos	Nvec_vc1.1_XM_048722479.1	down	-1.28225823072442
Elav_pos	Nvec_vc1.1_XM_048731535.1	down	-1.27725572366858
Ncol_pos	Nvec_vc1.1_XM_048731535.1	down	-1.27725572366858
Ncol_pos	Nvec_vc1.1_XM_048726081.1	up	1.2708559619391
Elav_pos	Nvec_vc1.1_XM_032370812.2	down	-1.27021889653575
Elav_pos	Nvec_vc1.1_XM_048727348.1	down	-1.27021889653575
Ncol_pos	Nvec_vc1.1_XM_032374200.2	down	-1.2606278082906
Ncol_pos	Nvec_vc1.1_XM_048726081.1	up	1.25957895173173
Ncol_pos	Nvec_vc1.1_XM_001631758.3	up	1.25954068996093
Ncol_pos	Nvec_NVE10800	down	-1.25950964804736
Ncol_pos	Nvec_vc1.1_XM_048732113.1	down	-1.25798156578276
Ncol_pos	Nvec_vc1.1_XM_048726927.1	down	-1.24554939259931
Elav_pos	Nvec_vc1.1_XM_032386302.2	down	-1.24429899269773
Ncol_pos	Nvec_vc1.1_XM_032384299.2	down	-1.24240211078403
Ncol_pos	Nvec_vc1.1_XM_032363467.2	up	1.23426313010379
Ncol_pos	Nvec_vc1.1_XM_001638603.3	up	1.23426313010379
Ncol_pos	Nvec_vc1.1_XM_048731297.1	up	1.23247488231165
Elav_pos	Nvec_vc1.1_XM_001627659.3	down	-1.23022286426363
Elav_pos	Nvec_vc1.1_XM_048722503.1	down	-1.22566897970136
Ncol_pos	Nvec_vc1.1_XM_001641617.3	up	1.22467577130452
Ncol_pos	Nvec_vc1.1_XM_001629576.3	up	1.22405878493094
Elav_pos	Nvec_vc1.1_XM_048731292.1	down	-1.21300767416531
Ncol_pos	Nvec_vc1.1_XM_048731292.1	down	-1.21300767416531
Ncol_pos	Nvec_vc1.1_XM_001635065.3	up	1.20807994267103
Ncol_pos	Nvec_vc1.1_XM_032366764.2	down	-1.19952248576711
Ncol_pos	Nvec_vc1.1_XM_001634580.3	up	1.19924159815428
Elav_pos	Nvec_vc1.1_XM_032363386.2	down	-1.19706707816376
Ncol_pos	Nvec_vc1.1_XM_032363386.2	down	-1.19706707816376
Elav_pos	Nvec_vc1.1_XM_001638220.3	down	-1.19546816525116
Elav_pos	Nvec_vc1.1_XM_001638220.3	down	-1.19546816525116
Elav_pos	Nvec_vc1.1_XM_048730244.1	down	-1.19497300017084
Elav_pos	Nvec_vc1.1_XM_048730244.1	down	-1.19497300017084
Elav_pos	Nvec_vc1.1_XM_032366775.2	down	-1.186150955808
Elav_pos	Nvec_vc1.1_XM_048732129.1	down	-1.17621271009694
Ncol_pos	Nvec_NVE18960	up	1.17233987300052
Elav_pos	Nvec_vc1.1_XM_001624990.3	down	-1.17142336740463
Elav_pos	Nvec_vc1.1_XM_032372373.2	down	-1.17142336740463
Elav_pos	Nvec_vc1.1_XM_001624990.3	down	-1.17142336740463
Ncol_pos	Nvec_vc1.1_XM_048720773.1	down	-1.16856111144888
Elav_pos	Nvec_vc1.1_XM_048727253.1	up	1.1645801404404
Elav_pos	Nvec_vc1.1_XM_001638372.3	down	-1.16256575300271
Ncol_pos	Nvec_vc1.1_XM_001638372.3	down	-1.16256575300271
Ncol_pos	Nvec_vc1.1_XM_032362529.2	up	1.15882646674091
Ncol_pos	Nvec_vc1.1_XM_001637607.3	up	1.15825577961368
Elav_pos	Nvec_vc1.1_XM_001628232.3	down	-1.14846503990438
Ncol_pos	Nvec_vc1.1_XM_001628232.3	down	-1.14846503990438
Elav_pos	Nvec_vc1.1_XM_032367285.2	down	-1.13455640086064
Elav_pos	Nvec_v1g205215	down	-1.12462546714084
Ncol_pos	Nvec_vc1.1_XM_032362240.2	down	-1.1226686538877
Elav_pos	Nvec_vc1.1_XM_032371493.2	up	1.1204172053119
Ncol_pos	Nvec_vc1.1_XM_048730818.1	up	1.1186504775655
Ncol_pos	Nvec_v1g9118	down	-1.10960401133655
Ncol_pos	Nvec_vc1.1_XM_001640113.3	down	-1.10903882695832
Ncol_pos	Nvec_vc1.1_XM_001625953.3	up	1.10692409258228
Elav_pos	Nvec_vc1.1_XM_048722503.1	down	-1.10125502887156
Elav_pos	Nvec_vc1.1_XM_001631442.3	up	1.09450809097853
Ncol_pos	Nvec_vc1.1_XM_001631442.3	up	1.09450809097853
Elav_pos	Nvec_vc1.1_XM_032364875.2	up	1.09319645824074
Ncol_pos	Nvec_NVE17480	up	1.08987939691373
Elav_pos	Nvec_vc1.1_XM_032375471.2	down	-1.07405953753231
Ncol_pos	Nvec_vc1.1_XM_048734095.1	up	1.07167887848271
Ncol_pos	Nvec_NVE2432	down	-1.07101038803124
Ncol_pos	Nvec_vc1.1_XM_032370011.2	down	-1.06796409130896
Elav_pos	Nvec_vc1.1_XM_032366571.2	down	-1.06600658148308
Elav_pos	Nvec_vc1.1_XM_048729093.1	down	-1.05825780851079
Elav_pos	Nvec_vc1.1_XM_032375468.2	down	-1.05730273865316
Elav_pos	Nvec_vc1.1_XM_001638276.3	down	-1.05582101774875
Ncol_pos	Nvec_vc1.1_XM_032363262.2	up	1.05450501202912
Elav_pos	Nvec_vc1.1_XM_032372197.2	down	-1.04067085613213
Ncol_pos	Nvec_vc1.1_XM_032371997.2	down	-1.03815908874254
Ncol_pos	Nvec_vc1.1_XM_048731055.1	up	1.03410993445811
Ncol_pos	Nvec_vc1.1_XM_032377572.2	down	-1.03058365776183
Elav_pos	Nvec_vc1.1_XM_048733641.1	up	1.02692390932844
Elav_pos	Nvec_vc1.1_XM_032385215.2	down	-1.02167369138402
Ncol_pos	Nvec_vc1.1_XM_032385215.2	down	-1.02167369138402
